the_geom,cartodb_id,objectid,url,name,line,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E6100000EB0E198BA67C52C03149084CE0504440,1,1212,http://web.mta.info/nyct/service/,Nostrand Ave & Avenue H at NE corner,5-Feb,409,1357,2280.601083
0101000020E6100000F04B0E84647852C0EA53D4F9F05E4440,2,855,http://web.mta.info/nyct/service/,Elmhurst Ave & Broadway at SE corner,M-R,592,1000,73.98045585
0101000020E610000070200BD5CD7A52C0BD2E047D225F4440,3,1812,http://web.mta.info/nyct/service/,46th St & Queens Blvd at NW corner,7,890,79,181.049387
0101000020E6100000994C86C9547B52C045042D69C5674440,4,1227,http://web.mta.info/nyct/service/,Lincoln Ave & 138th St at SE corner,6,999,1372,119.6396331
0101000020E6100000540C653A747F52C0E6BF7CF4864F4440,5,298,http://web.mta.info/nyct/service/,17th Ave & 64th St at NE corner,N,1263,443,293.0831797
0101000020E6100000841AFA2AF97852C0ADD6E9887C5F4440,6,1452,http://web.mta.info/nyct/service/,75th St & Broadway at SE corner,E-F-M-R-7,1394,1597,254.2002956
0101000020E61000002EEC46AE9B7F52C0D218881BF05B4440,7,1023,http://web.mta.info/nyct/service/,Chrystie St & Grand St at NW corner,B-D,1636,1168,349.1595003
0101000020E61000002333FD47A67C52C065B8540B25654440,8,1647,http://web.mta.info/nyct/service/,Lexington Ave & 103rd St at SE corner,6,421,1792,262.9611972
0101000020E6100000AC0DDA3C0E7252C06B31F45D4A5B4440,9,1522,http://web.mta.info/nyct/service/,Midland Pkwy & Hillside Ave at NE corner,F,614,1667,5659.531907
0101000020E610000047ABD2BD4E8052C04B3B37423F5B4440,10,1693,http://web.mta.info/nyct/service/,Centre St & Brooklyn Bridge Approach at NW corner,J-Z-4-5-6,683,1838,58.81506442
0101000020E610000065948EAD677E52C07136B6E21B604440,11,1332,http://web.mta.info/nyct/service/,3rd Ave & 42nd St at SW corner,GS-4-5-6-7,744,1477,807.8896167
0101000020E6100000261803E9627952C0B3FD60F0696E4440,12,454,http://web.mta.info/nyct/service/,Grand Concourse & Fordham Rd at NE corner,B-D,1442,599,830.0050709
0101000020E6100000BEBAAD84EE7C52C0A1429FB646664440,13,1322,http://web.mta.info/nyct/service/,Lenox Ave & 111th St at NW corner,3-Feb,1485,1467,243.873893
0101000020E6100000BA122FF7C97E52C0A399DE43C2494440,14,292,http://web.mta.info/nyct/service/,Stillwell Ave & Surf Ave at NE corner,D-F-N-Q,1522,437,1372.381917
0101000020E6100000BBD09928427E52C0433276E5B3564440,15,1620,http://web.mta.info/nyct/service/,Flatbush Ave & Park Pl at SW corner,B-Q,1733,1765,53.62712088
0101000020E6100000463F67B5C07C52C00A995D56615B4440,16,333,http://web.mta.info/nyct/service/,Lorimer St & Metropolitan Ave at SE corner,G-L,1,478,307.3848945
0101000020E6100000A0A34674CF7C52C029C8912DCB694440,17,1126,http://web.mta.info/nyct/service/,Broadway & 145th St at NW corner,1,2,1271,15.65343613
0101000020E6100000233C5B7A347B52C072C82A603B6E4440,18,212,http://web.mta.info/nyct/service/,Hillside Ave & Nagle Ave at SW corner,1,3,357,296.7865554
0101000020E610000031688E8CD57A52C0BE7EBECD1B6F4440,19,348,http://web.mta.info/nyct/service/,Broadway & 211th St at NE corner,A,4,493,30.47506287
0101000020E61000005D0E5890667952C0AE0A21B75F6E4440,20,453,http://web.mta.info/nyct/service/,Grand Concourse & Fordham Rd at SE corner,B-D,5,598,24.82371694
0101000020E610000041DFC515177652C0AFAAF93B14574440,21,903,http://web.mta.info/nyct/service/,94th St & Liberty Ave at NW corner,A,6,1048,610.8950419
0101000020E6100000530575E61E7552C03566294F595B4440,22,835,http://web.mta.info/nyct/service/,80th Rd & Queens Blvd at SE corner,E-F,7,980,41.82018541
0101000020E6100000F9E78900A77E52C03179BEC4584C4440,23,60,http://web.mta.info/nyct/service/,8th St & Avenue U at NE corner,N,8,205,194.0479603
0101000020E6100000C8C390E8FA7C52C066DC6D1E5A634440,24,1928,http://web.mta.info/nyct/service/,2nd Ave & bet 83rd & 84th St,Q,9,1924,308.3293667
0101000020E6100000342949D5767C52C0A352CB01BB6A4440,25,1124,http://web.mta.info/nyct/service/,Broadway & 157th St at SE corner,1,10,1269,103.0526394
0101000020E6100000AC0DDA3C0E7252C06B31F45D4A5B4440,26,1522,http://web.mta.info/nyct/service/,Midland Pkwy & Hillside Ave at NE corner,F,11,1667,7389.410678
0101000020E6100000CCC905DB887552C028A33761FB6B4440,27,625,http://web.mta.info/nyct/service/,Westchester Ave & Middletown Rd at NE corner,6,12,770,2916.488922
0101000020E6100000E5A3915CFE7B52C0094AD708FD664440,28,1640,http://web.mta.info/nyct/service/,Lexington Ave & 125th St at NW corner,4/5/06,13,1785,353.7625918
0101000020E61000000C68035B257F52C0B9DFE2D1C6594440,29,1029,http://web.mta.info/nyct/service/,Jay St & York St at SW corner,F,14,1174,308.7934899
0101000020E610000021F4BD85757952C0D5CE24C0E9714440,30,202,http://web.mta.info/nyct/service/,Broadway & 242nd St at NE corner,1,15,347,804.4880924
0101000020E6100000A347FB39057552C061B6BC4049614440,31,1437,http://web.mta.info/nyct/service/,Main St & Roosevelt Ave at NE corner,7,16,1582,4183.102431
0101000020E61000002D08C1AE267C52C0F5A28A10576C4440,32,357,http://web.mta.info/nyct/service/,Fort Washington Ave & 175th St at SE corner,A,17,502,308.3178615
0101000020E61000008C7B116C5C7A52C0B5BAEB0434634440,33,1528,http://web.mta.info/nyct/service/,31st St & 23rd Ave at NE corner,N-Q,18,1673,456.1545736
0101000020E61000004E64601A867E52C05A97BC9EE8644440,34,249,http://web.mta.info/nyct/service/,Broadway & 86th St at SW corner,1,19,394,251.5617048
0101000020E6100000D43A6075E47D52C0F9C6595183574440,35,801,http://web.mta.info/nyct/service/,Clinton Ave & Fulton Ave at NW corner,C,20,946,96.01991699
0101000020E610000021560E81237852C0CA31A3B4375E4440,36,852,http://web.mta.info/nyct/service/,54th St & Queens Blvd at SW corner,M-R,21,997,88.46493977
0101000020E61000006F50C7F1437C52C0A533311A32664440,37,1237,http://web.mta.info/nyct/service/,Lexington Ave & 116th St at SE corner,6,22,1382,72.20507172
0101000020E61000008262A1D5C97C52C0A8D89E7E50534440,38,1208,http://web.mta.info/nyct/service/,Nostrand Ave & Church Ave at NW corner,5-Feb,23,1353,317.8439329
0101000020E6100000F6CB9290487E52C046F2357EE1634440,39,378,http://web.mta.info/nyct/service/,Central Park West & 77th St at NW corner,B-C,24,523,315.2917635
