the_geom,cartodb_id,cb_link_id,borough,community_board,council_district,latitude,longitude,project_status,smallest_ppt,street_address,postcode,link_site_id,link_smoke_tested_and_activated_a,link_installation_a,neighborhood_tabulation_area_nta,building_identification_number_bin,borough_block_lot_bbl,census_tract_ct,cross_street_1,cross_street_2,ixn_corner,gf_permit_application_id,location,x_coordinate,y_coordinate,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E610000059DE550F987C52C017D4B7CCE9504440,1,LINK-000025,Brooklyn,314,45,40.632135,-73.946781,Live,126509,1591 FLATBUSH AVENUE,11210,bk-14-126509,6/18/18,3/4/18,Flatbush,3205905,3075580027,3078600,EAST 31 STREET,FLATBUSH AVENUE,NE,,"(40.63213478, -73.94678067)","999,021.72","169,584.61",409,622,2243.747263
0101000020E6100000B37BF2B0507852C0BCB20B06D75E4440,2,LINK-019900,Queens,404,25,40.740937,-73.879925,Live,145914,83-02 BROADWAY,11373,qu-04-145914,9/7/17,8/5/17,Elmhurst-Maspeth,4430211,4015440027,4048500,CORNISH AVENUE,DONGAN AVENUE,SE,81862,"(40.74093675, -73.87992485)","1,017,524.08","209,242.66",592,733,62.67637191
0101000020E610000004013274EC7A52C00FEF39B01C5F4440,3,LINK-001154,Queens,402,26,40.743063,-73.920682,Live,128387,45-02 44 STREET,11104,qu-02-128387,2/2/17,11/19/16,Hunters Point-Sunnyside-West Maspeth,4001993,4001680031,4018300,QUEENS BOULEVARD,47 AVENUE,NW,,"(40.74306271, -73.9206815)","1,006,229.29","210,004.36",890,1529,146.7947088
0101000020E6100000A41AF67B627B52C0B0C7444AB3674440,4,LINK-018218,Bronx,201,8,40.810159,-73.927886,Live,145916,197 LINCOLN AVENUE,10451,bx-01-145916,2/22/18,8/31/17,Mott Haven-Port Morris,2000780,2023180022,2005100,EAST 137 STREET,3 AVENUE,NW,81618,"(40.81015856, -73.92788597)","1,004,212.80","234,447.90",999,572,31.29143431
0101000020E61000000803CFBD878052C09ED2C1FA3F534440,5,LINK-011802,Brooklyn,307,38,40.65039,-74.008285,Live,125840,4201 4 AVENUE,11232,bk-07-125840,6/25/18,4/10/18,Sunset Park West,3010833,3007240001,3008200,42 STREET,43 STREET,NE,,"(40.65039017, -74.00828534)","981,950.92","176,231.17",1263,399,3341.733155
0101000020E61000003F19E3C3EC7852C0EED0B018755F4440,6,LINK-019903,Queens,404,25,40.745761,-73.889451,Live,145900,75-32 BROADWAY,11373,qu-04-145900,10/4/17,8/5/17,Elmhurst,4311943,4014860051,4026700,76 STREET,75 STREET,SW,81841,"(40.74576092, -73.88945075)","1,014,882.14","210,996.78",1394,435,185.7109565
0101000020E61000000EBF9B6ED97F52C0774EB340BB5B4440,7,LINK-012235,Manhattan,103,1,40.716652,-73.997646,Live,133426,178 CANAL STREET,10013,mn-03-133426,12/14/16,9/14/16,Chinatown,1002410,1002010013,1002900,MOTT STREET,ELIZABETH STREET,SE,,"(40.71665239, -73.99764592)","984,902.58","200,372.32",1636,1647,145.7323635
0101000020E61000002E724F57777C52C0A1BFD02346654440,8,LINK-006027,Manhattan,111,8,40.791203,-73.944784,Live,132876,1915 3 AVENUE,10029,mn-11-132876,6/15/16,5/21/16,East Harlem South,1052429,1016550045,1017000,EAST 106 STREET,EAST 105 STREET,SE,,"(40.79120304, -73.94478351)","999,539.53","227,538.35",421,600,11.48124098
0101000020E610000067994528B67252C092B245D26E5A4440,9,LINK-001821,Queens,412,27,40.706507,-73.792368,Live,141536,168-03 JAMAICA AVENUE,11432,qu-12-141536,9/28/16,8/18/16,Jamaica,4209645,4097990022,4046000,168 STREET,168 PLACE,NE,,"(40.706507, -73.792368)","1,041,816.70","196,744.26",614,1061,6578.450964
0101000020E610000005C24EB16A8052C022C154336B5B4440,10,LINK-003268,Manhattan,101,1,40.714209,-74.006512,Installed,123041,70 CHAMBERS STREET,10007,mn-01-123041,,5/24/18,SoHo-TriBeCa-Civic Center-Little Italy,1079153,1001357504,1002100,BROADWAY,CHURCH STREET,SW,,"(40.71420865, -74.0065117)","982,444.82","199,482.04",683,419,194.4440299
0101000020E6100000E6400FB56D7E52C0A30392B06F5F4440,11,LINK-010664,Manhattan,106,4,40.745596,-73.975446,Live,138318,643 2 AVENUE,10016,mn-06-138318,4/10/18,1/27/18,Murray Hill-Kips Bay,1020188,1009160030,1007800,EAST 35 STREET,EAST 36 STREET,NW,,"(40.74559596, -73.97544551)","991,053.83","210,918.31",744,1681,277.977224
0101000020E61000008099EFE0277952C0AA436E861B6E4440,12,LINK-000067,Bronx,205,15,40.860215,-73.893059,Live,116218,2461 WEBSTER AVENUE,10458,bx-05-116218,5/25/16,5/12/16,Bedford Park-Fordham North,2011078,2030260059,2039902,EAST 188 STREET,EAST 189 STREET,MIDBLOCK,,"(40.86021467, -73.89305944)","1,013,831.30","252,695.04",1442,342,429.9249893
0101000020E61000001EC6A4BF977C52C05F419AB168664440,13,LINK-012163,Manhattan,111,9,40.80007,-73.946762,Live,100200,1403 5 AVENUE,10029,mn-11-100200,1/25/17,10/15/16,East Harlem North,1051634,1016210002,1018400,EAST 115 STREET,EAST 116 STREET,NE,,"(40.80007, -73.946762)","998,989.72","230,768.55",1485,1692,272.1993071
0101000020E610000055DAE21A9F7D52C08656276728524440,14,LINK-013093,Brooklyn,314,40,40.641858,-73.962836,Live,126362,1626 CORTELYOU ROAD,11226,bk-14-126362,4/23/18,12/2/17,Flatbush,3118755,3051590010,3051400,EAST 17 STREET,EAST 16 STREET,SE,,"(40.64185835, -73.96283585)","994,563.89","173,124.87",1522,62,7949.706769
0101000020E6100000BEBED6A5467E52C08E90813CBB564440,15,LINK-005725,Brooklyn,306,39,40.677589,-73.973062,Live,145848,162 PARK PLACE,11217,bk-06-145848,4/24/18,6/11/17,Prospect Heights,3024351,3010570005,3016100,7 AVENUE,FLATBUSH AVENUE,SE,81425,"(40.67758878, -73.9730618)","991,721.96","186,141.43",1733,1112,32.23715227
0101000020E610000053E9279CDD7C52C06BD619DF175B4440,16,LINK-021137,Brooklyn,301,34,40.711666,-73.951026,Live,146050,2 POWERS STREET,11211,bk-01-146050,3/30/18,12/19/17,North Side-South Side,3323015,3027790004,3051300,UNION AVENUE,LORIMER STREET,SE,81953,"(40.71166636, -73.95102615)","997,827.13","198,559.54",1,809,158.8380365
0101000020E61000002CF2EB87D87C52C0831953B0C6694440,17,LINK-001703,Manhattan,109,7,40.826376,-73.950716,Live,120363,3539 BROADWAY,10031,mn-09-120363,10/21/16,10/3/16,Hamilton Heights,1062370,1020910036,1022900,WEST 145 STREET,WEST 144 STREET,SW,,"(40.82637629, -73.95071631)","997,889.52","240,352.23",2,1475,39.55422094
0101000020E61000006A87BF266B7B52C0C64D0D349F6D4440,18,LINK-014272,Manhattan,112,10,40.856421,-73.928415,Live,113582,1614 ST. NICHOLAS AVENUE,10040,mn-12-113582,2/20/18,12/1/17,Washington Heights North,1063868,1021610017,1027700,WEST 192 STREET,WEST 193 STREET,E,,"(40.85642084, -73.92841499)","1,004,052.58","251,302.84",3,163,756.7618329
0101000020E610000037E33444157A52C0F8DF4A766C6E4440,19,LINK-011667,Bronx,207,14,40.862685,-73.907548,Live,144372,2338 LORING PLACE NORTH,10468,bx-07-144372,5/11/17,4/7/17,Kingsbridge Heights,2014947,2032250108,2025500,WEST FORDHAM ROAD,WEST 183 STREET,SE,,"(40.862685, -73.907548)","1,009,822.61","253,590.52",4,939,1159.607325
0101000020E610000079E8BB5B597952C0F73DEAAF576E4440,20,LINK-013196,Bronx,205,15,40.862051,-73.896079,Live,119638,2493 VALENTINE AVENUE,10458,bx-05-119638,6/25/18,1/14/18,Bedford Park-Fordham North,2013601,2031530023,2023702,EAST FORDHAM ROAD,EAST 188 STREET,SW,,"(40.86205098, -73.89607854)","1,012,995.38","253,363.07",5,1790,97.95474854
0101000020E610000007077B13437652C08DD0CFD4EB584440,21,LINK-010999,Queens,409,32,40.694697,-73.847844,Live,143998,97-20 JAMAICA AVENUE,11421,qu-09-143998,9/25/17,8/19/17,Woodhaven,4184482,4089380010,4003000,98 STREET,97 STREET,SW,,"(40.69469686, -73.8478444)","1,026,443.17","192,409.89",6,1494,1006.898533
0101000020E61000008A9125732C7552C0327381CB635B4440,22,LINK-001824,Queens,409,29,40.713983,-73.830838,Live,124172,80-02 KEW GARDENS ROAD,11415,qu-09-124172,11/30/16,11/5/16,Kew Gardens,4312089,4033480037,4077300,UNION TURNPIKE,80 ROAD,SE,,"(40.713983, -73.830838)","1,031,145.51","199,445.05",7,1705,43.35330192
0101000020E610000059DE550F987C52C017D4B7CCE9504440,23,LINK-000025,Brooklyn,314,45,40.632135,-73.946781,Live,126509,1591 FLATBUSH AVENUE,11210,bk-14-126509,6/18/18,3/4/18,Flatbush,3205905,3075580027,3078600,EAST 31 STREET,FLATBUSH AVENUE,NE,,"(40.63213478, -73.94678067)","999,021.72","169,584.61",8,622,4685.72765
0101000020E6100000950ED6FF397D52C03012DA722E634440,24,LINK-000862,Manhattan,108,5,40.774855,-73.956665,Live,121015,200 EAST 80 STREET,10075,mn-08-121015,3/30/16,2/15/16,Yorkville,1048509,1015250001,1013800,3 AVENUE,2 AVENUE,SE,,"(40.774855, -73.956665)","996,252.47","221,580.35",9,1137,84.98084824
0101000020E610000085ED27637C7C52C0A99F3715A96A4440,25,LINK-011438,Manhattan,112,7,40.833285,-73.945092,Live,120451,580 WEST 156 STREET,10032,mn-12-120451,2/1/17,12/20/16,Washington Heights South,1062678,1021140005,1024100,BROADWAY,AMSTERDAM AVENUE,SE,,"(40.83328532, -73.94509159)","999,444.61","242,870.37",10,12,42.30619086
0101000020E610000092AE997CB37252C07C26FBE7695A4440,26,LINK-001820,Queens,412,27,40.706357,-73.792205,Live,141553,168-06 JAMAICA AVENUE,11433,qu-12-141553,9/28/16,8/18/16,Jamaica,4217372,4102090002,4044400,168 STREET,168 PLACE,SE,,"(40.70635736, -73.79220518)","1,041,861.97","196,689.85",11,1588,8477.26703
0101000020E6100000CEC64ACCB37852C097546D37C16B4440,27,LINK-010198,Bronx,206,17,40.841834,-73.885974,Live,101312,1917 SOUTHERN BOULEVARD,10460,bx-06-101312,7/12/18,5/17/18,East Tremont,2010153,2029600039,2036502,ELSMERE PLACE,FAIRMOUNT PLACE,SW,,"(40.84183354, -73.88597436)","1,015,799.85","246,000.57",12,1163,6136.175524
0101000020E61000008449F1F1097C52C0D9B45208E4664440,28,LINK-011338,Manhattan,111,8,40.803834,-73.938107,Live,120242,133 EAST 124 STREET,10035,mn-11-120242,4/10/18,1/27/18,East Harlem North,1081556,1017730017,1019600,LEXINGTON AVENUE,PARK AVENUE,NW,,"(40.80383351, -73.93810707)","1,001,384.99","232,141.30",13,1711,409.6921531
0101000020E61000000C21E7FD7F7F52C0105CE50984594440,29,LINK-001009,Brooklyn,302,33,40.699342,-73.992187,Live,125681,60 HENRY STREET,11201,bk-02-125681,2/13/17,12/15/16,Brooklyn Heights-Cobble Hill,3001646,3002210020,3000100,CRANBERRY STREET,ORANGE STREET,SW,,"(40.69934194, -73.99218679)","986,416.47","194,065.68",14,1842,715.155455
0101000020E6100000172CD505BC7952C0E10CFE7E316F4440,30,LINK-018402,Bronx,208,14,40.868698,-73.902101,Live,145850,119 WEST KINGSBRIDGE ROAD,10468,bx-08-145850,8/1/17,6/10/17,Van Cortlandt Village,2015261,2032480057,2026701,UNIVERSITY AVENUE,WEBB AVENUE,NE,81646,"(40.86869849, -73.9021009)","1,011,326.85","255,783.10",15,820,3128.124003
0101000020E610000067994528B67252C092B245D26E5A4440,31,LINK-001821,Queens,412,27,40.706507,-73.792368,Live,141536,168-03 JAMAICA AVENUE,11432,qu-12-141536,9/28/16,8/18/16,Jamaica,4209645,4097990022,4046000,168 STREET,168 PLACE,NE,,"(40.706507, -73.792368)","1,041,816.70","196,744.26",16,1061,7793.121234
