the_geom,cartodb_id,fountain_ty,collection,system,featuresta,parentid,gispropnum,objectid,department,painted,gisobjid,signname,position,fountain_co,borough,descriptio,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E610000009F220E2017C52C0D95C9322644F4440,1,D,2018-01-25 00:00:00+00,B207-DF0454,Active,B207,B207,631,B-18,yes,100038084,Sarsfield Playground,"Out in Open, In Playground",1,B,"D, Out in Open, In Playground",145,2644,217.7970761
0101000020E610000022EF0A239C7B52C0CFB41387EF524440,2,CS Concrete,2018-01-27 00:00:00+00,B234-DF0501,Active,B234,B234,773,B-17,no,100038138,Tilden Playground,"Out in Open, In Playground",1,B,"CS Concrete, Out in Open, In Playground",420,128,774.45472494
0101000020E610000076E6750A697F52C08BABFBF9265E4440,3,E Wheelchair Dog,2018-02-20 00:00:00+00,M089-DF0100,Active,M089,M089,2038,M-05,no,100039462,Union Square Park,Out in Open,1,M,"E Wheelchair Dog, Out in Open",607,1064,253.64687408
0101000020E610000065D42C542B7752C01483FF4CD25F4440,4,C,2018-01-30 00:00:00+00,Q026-DF0145,Active,Q026,Q026,942,Q-04,no,100038339,Park Of The Americas,Near Ballfield,1,Q,"C, Near Ballfield",854,164,113.29586833
0101000020E61000003CDC7939767852C004A8F9E7F95E4440,5,D,2018-02-18 00:00:00+00,Q361-DF0574,Active,Q361,Q361,1986,Q-04,,100039316,Moore Homestead Playground,"Under Tree, Out in Open",1,Q,"D, Under Tree, Out in Open",915,676,133.85144537
0101000020E6100000A938B63F997B52C032EE5F983C694440,6,Trough,2018-06-06 00:00:00+00,X344-DF0443,Active,X344,X344,2998,X-04,,100040308,Mill Pond Park,Out in Open,1,X,"Trough, Out in Open",1219,2113,360.38110753
0101000020E6100000A7584DB26F7C52C01DAC8EC7C05A4440,7,C,2018-01-26 00:00:00+00,B127-DF0461,Active,B127,B127,681,B-01,no,100038055,Martinez Playground,"Near Ballfield, Just Outside Playground",1,B,"C, Near Ballfield, Just Outside Playground",1378,1143,299.61403025
0101000020E61000002D3A0CA3EF7852C0B0AA3E6577604440,8,A,2018-02-06 00:00:00+00,Q303-DF0583,Active,Q303,Q303,1995,Q-03,no,100039314,Travers Park,"Under Tree, Near Ballfield",1,Q,"A, Under Tree, Near Ballfield",1447,1261,431.43077171
0101000020E6100000D12402D4857C52C0710363755A654440,9,F,2018-05-01 00:00:00+00,M148-DF0515,Active,M148,M148,2739,M-11,yes,100040136,White Park,"In Playground, Near Ballfield",1,M,"F, In Playground, Near Ballfield",421,696,90.07950978
0101000020E6100000F35F9D18E77152C0BE114452B5584440,10,C,2018-02-01 00:00:00+00,Q051-DF0306,Active,Q051,Q051,1173,Q-12,no,100038559,St. Albans Park,Out in Open,1,Q,"C, Out in Open",176,701,161.82671222
0101000020E6100000BE5ABB051B7D52C098F66FBA255F4440,11,E Wheelchair,2018-02-23 00:00:00+00,Q045-DF0606,Active,Q045,Q045,2106,Q-02,yes,100039527,Andrews Grove,"Under Tree, In Playground",1,Q,"E Wheelchair, Under Tree, In Playground",841,356,274.00717016
0101000020E6100000AA6EE996357B52C04235D8DC63674440,12,C,2018-06-08 00:00:00+00,X131-DF0458,Active,X131,X131,3046,X-01,no,100040418,Lozada Playground,Out in Open,1,X,"C, Out in Open",999,1461,336.13439435
0101000020E61000001A53D156227F52C0D444897981544440,13,C,2018-05-29 00:00:00+00,B255G-DF0895,Active,B255G,B255G,2894,B-07,,100040265,Butterfly Gardens,In Shade,1,B,"C, In Shade",1090,15,100.55810303
0101000020E6100000DFE271AA527B52C06FE04A4CB4694440,14,D,2018-02-22 00:00:00+00,X348-DF0400,Active,X348,X348,2101,X-04,no,100039499,River Avenue Parks,"Out in Open, In Playground",1,X,"D, Out in Open, In Playground",1228,1314,30.71418587
