the_geom,cartodb_id,objectid,angle,site_id,status,type,street,xstreet1,xstreet2,side,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E6100000D7D646F3507B52C0F63508D9464F4440,1,1445,175.33,B46-014,Pending Sign,Type D,Utica Avenue,Avenue N,Avenue M,E,409,506,45.45265439
0101000020E6100000C1B1AC1A5B7852C089D4B1ECEC5E4440,2,2900,314.5,QWH-054,Installed,Type D,Broadway,Whitney Avenue,Elmhurst Avenue,E,592,702,29.23559334
0101000020E6100000F7B23D39FA7B52C0CC2F055E5E5F4440,3,68,99,LI-016,Installed,Type B,Thomson Avenue,30 Street,30 Place,S,890,40,1419.415133
0101000020E61000008E1877C73B7B52C04D27D94CB2674440,4,1057,119.09,SX-041,Installed,Type A,E 138 Street,Alexander Avenue,3 Avenue,S,999,338,206.8888811
0101000020E6100000E73E1BA6807E52C0D162A1B372504440,5,2118,170.93,MW-002,Installed,Type B,McDonald Avenue,Parkville Avenue,Lawrence Avenue,E,1263,618,1254.34330286
0101000020E6100000716D58D5C27852C0DF02ED67515F4440,6,2897,119,QWH-003,Installed,Type D,Broadway,78 Street,79 Street,S,1394,700,62.50979325
0101000020E6100000DF32185EC37F52C060119D87B35B4440,7,94,114,CH-018,Installed,Type B,Canal Street,Bowery,Elizabeth Street,N,1636,58,72.94526952
0101000020E6100000BD9D4531947C52C0B9CF422EF7644440,8,3181,209.02,UE-128,Installed,Fingerpost,3 Avenue,E 102 Street,E 99 Street,E,421,808,309.58205328
0101000020E610000070E22B6D587152C0F111E5E9B9614440,9,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,614,721,10.23573768
0101000020E61000008F4FD6CE508052C0142BC323325B4440,10,1108,46.52,LM-159,Installed,Type C,Centre Street,Brooklyn Bridge,Chambers Street,W,683,351,103.99088348
0101000020E6100000417432DE507E52C09362D682395F4440,11,104,299,M34-001,Installed,Type D,E 34 Street,1 Avenue,2 Avenue,N,744,66,42.58944118
0101000020E61000006C15EC200B7952C016B1577C186E4440,12,1067,289.71,FR-009,Installed,Type C,E 189 Street,3 Avenue,Park Avenue,N,1442,342,304.71980843
0101000020E6100000A3116280F57C52C09B19E12233664440,13,1244,29,UM-062,Installed,Type B,Lenox Avenue,Central Park North,W 111 Street,W,1485,431,272.98321222
0101000020E61000008CD7F2F4017F52C06878079B9E494440,14,1490,81.84,CI-003,Installed,Type C,Surf Avenue,W 17 Street,,C,1522,521,1078.57283447
0101000020E6100000E934C2A93A7E52C0CEF8FD9DB1564440,15,884,15,NF-008,Installed,Type B,Carlton Avenue,Flatbush Avenue,Park Place,W,1733,281,93.06590667
0101000020E6100000D6881DF5BC7C52C0FA476393045B4440,16,1124,82.85,NR-150,Installed,Type B,Grand Street,Lorimer Street,Union Avenue,S,1,359,21.84404523
0101000020E6100000DDC50408D47C52C001412DF3BE694440,17,1222,29,UM-040,Installed,Type B,Broadway,W 145 Street,W 144 Street,E,2,425,49.37204367
0101000020E610000033223CF8357B52C022177DCE3C6E4440,18,1194,0,UM-013,Installed,Type B,Hillside Avenue,Nagle Avenue,Sickles Street,E,3,408,305.04566401
0101000020E6100000BEF8FA6DE17A52C029D644321F6F4440,19,1190,69.42,UM-008,Installed,Type B,Broadway,Isham Street,W 207 Street,W,4,404,74.20027393
0101000020E610000016A60089407952C0254D442A5A6E4440,20,954,98.97,FR-005,Installed,Type B,E Fordham Road,E Kingsbridge Road,Valentine Avenue,N,5,299,220.97809775
0101000020E61000006D72E2382A7652C01CE1CC009B574440,21,2915,159.38,QWH-012,Installed,Type D,Woodhaven Boulevard,101 Avenue,97 Avenue,W,6,717,143.79941674
0101000020E61000004F243F684B7452C02EFB229CE55B4440,22,1502,338.58,Q44-007,Installed,Type D,Main Street,Union Turnpike,79 Avenue,E,7,529,1227.23101727
0101000020E61000004902A0E73C7E52C01BBF85EC544D4440,23,3080,97.5,B82-006,Installed,Type D,Kings Highway,McDonald Avenue,Dahill Road,S,8,764,909.88371871
0101000020E61000000CDB047F257D52C0341A63C604634440,24,2655,299,M79-004,Installed,Type D,E 79 Street,2 Avenue,3 Avenue,N,9,668,109.55123293
0101000020E61000002AA9CA28877C52C0584A305D916A4440,25,1221,29,UM-039,Pending Blades,Fingerpost,Broadway,W 155 Street,W 153 Street,E,10,424,65.17975426
0101000020E610000070E22B6D587152C0F111E5E9B9614440,26,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,11,721,6486.94984341
0101000020E6100000DD5606AC547652C039B556B1EE664440,27,3146,349,CP-001,Installed,Custom,Soundview Avenue,Shorehaven Greenway,,S,12,804,3186.77529224
0101000020E6100000013F3F0F2D7C52C0F0E12C4119674440,28,819,119,M60-007,Installed,Type D,E 125 Street,Madison Avenue,Park Avenue,S,13,262,224.59630603
0101000020E610000024BDD4A7237F52C001F13F5795594440,29,3038,93,DB-062,Pending Sign,Type B,Sands Street,Jay Street,Jay Street,S,14,749,476.39756911
0101000020E610000003208AF3397A52C00DEBB5FFE96F4440,30,1485,45.98,KB-001,Pending Sign,Type B,Broadway,W 225 Street,W 225 Street,E,15,519,2809.56992143
0101000020E610000070E22B6D587152C0F111E5E9B9614440,31,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,16,721,1792.75604891
0101000020E6100000AD62BA13007C52C04A44D9BE936C4440,32,1203,119,UM-022,Installed,Type B,W 178 Street,Broadway,Wadsworth Avenue,S,17,415,286.67498195
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,33,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,18,265,886.27054276
0101000020E610000054F9F863847E52C09F400C6EE3644440,34,3157,35.1658775393,UW-057,Installed,Type B,Broadway,W 86 Street,W 85 Street,W,19,806,268.64713281
0101000020E610000035F53F90F07D52C0624CD2B284574440,35,2858,105.45,DB-058,Installed,Type B,Fulton Street,Vanderbilt Avenue,Clinton Avenue,N,20,684,76.42837638
0101000020E610000040E05360277852C0EBCB0568635E4440,36,2901,196.35,QWH-005,Installed,Type D,Broadway,Queens Boulevard,51 Avenue,W,21,703,127.20541786
0101000020E6100000898EDF6D487C52C08F8A9C1D3A664440,37,1246,119,UM-064,Installed,Type B,E 116 Street,Lexington Avenue,Park Avenue,S,22,433,100.97753941
0101000020E61000007E683879F47C52C09A26758155534440,38,162,355.5,B44-014,Installed,Type D,Rogers Avenue,Church Avenue,Martense Street,E,23,93,190.28063966
0101000020E6100000E409972A797E52C0151FE411EE634440,39,3227,118.73,UW-069,Installed,Type B,W 77 Street,Columbus Avenue,Central Park West,N,24,826,61.34383792
0101000020E61000005A1F363BD37F52C08149ECD8A34C4440,40,3127,218.37,B82-042,Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,W,25,794,1653.82344177
0101000020E610000016A60089407952C0254D442A5A6E4440,41,954,98.97,FR-005,Installed,Type B,E Fordham Road,E Kingsbridge Road,Valentine Avenue,N,26,299,802.91030897
0101000020E610000070E22B6D587152C0F111E5E9B9614440,42,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,27,721,2857.45484465
0101000020E6100000960C6546DB7452C0E3BF9A1130604440,43,1518,328.74,Q44-014,Removed Sign Only (Temporary),Type D,Main Street,Elder Avenue,Dahlia Avenue,E,28,536,18.19006193
0101000020E61000008617D12C9E7252C0AF8B55F9755A4440,44,1470,68.8,JM-026,Installed,Type B,Jamaica Avenue,169 Street,168 Place,S,29,517,3365.94030507
0101000020E6100000E892BA3A347052C068DD2A39364D4440,45,959,10,RW-001,Installed,Type B,Beach 20 Street,Cornaga Avenue,Mott Avenue,W,30,300,24.46291825
0101000020E6100000D6E5794A4F7F52C006C3F9AF994D4440,46,3078,38.4,B82-004,Pending Sign,Type D,Bay Parkway,78 Street,79 Street,E,31,763,632.26575809
0101000020E6100000A98F47771D7752C0FBD7312DB66A4440,47,1539,253.49,Q44-027,Installed,Type D,Hugh J. Grant Circle,Virginia Avenue,Metropolitan Avenue,N,32,539,3609.78325412
0101000020E610000064ADBA5A997B52C0E3CB8E511B664440,48,1717,119,UM-100,Pending Sign,Type B,E 120 Street,Pleasant Avenue,Paladino Avenue,N,33,564,346.7925416
0101000020E610000070E22B6D587152C0F111E5E9B9614440,49,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,34,721,4923.26463086
0101000020E61000002C6E9906B77C52C0FDCB18AB226A4440,50,3412,29.0006,UM-154,Pending Sign,Type B,Broadway,W 149 Street,W 150 Street,W,35,844,34.15427932
0101000020E6100000369A19D54E7D52C0B37005CFE8614440,51,720,29,M15-014,Installed,Type D,1 Avenue,E 67 Street,E 68 Street,E,36,220,30.11424232
0101000020E61000009FA0EA99877A52C00986232C126C4440,52,1465,119,SX-062,Installed,Type B,E Mount Eden Avenue,Jerome Avenue,Townsend Avenue,N,37,513,1189.91822189
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,53,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,38,265,917.67565717
0101000020E6100000C8EE5963AF7E52C0CDE34376A6544440,54,48,32,HB-037,Installed,Type B,Prospect Park West,Bartel Pritchard Square,14 Street,E,39,28,1198.75730641
0101000020E61000002BF11FDCD07C52C0AA25384A25694440,55,3746,29,UM-161,Pending Sign,Type B,Amsterdam Avenue,W 139 Street,W 138 Street,E,40,856,493.10245324
0101000020E6100000A14330F1E07F52C05332C13F5D5F4440,56,1848,119,M23-023,Installed,Type D,W 23 Street,8 Avenue,7 Avenue,S,41,598,73.94782591
0101000020E61000005004082C8D7B52C034BB88D562534440,57,1438,175.4,B46-008,Pending Sign,Type D,Utica Avenue,Church Avenue,Snyder Avenue,W,42,499,703.74293486
0101000020E6100000296E7E8E207C52C081627B9A816C4440,58,1204,16.95,UM-023,Installed,Type B,Fort Washington Avenue,W 177 Street,W 176 Street,E,43,416,180.78060174
0101000020E610000063712E04B37D52C0C9F7802375614440,59,2992,119,UE-059,Installed,Type B,E 60 Street,2 Avenue,3 Avenue,N,44,744,179.15278797
0101000020E6100000C020C12AEA8052C0375CF5F1A95A4440,60,1094,16.41,LM-157,Installed,Type A,Washington Street,Rector Street,Carlisle Street,E,45,349,67.50635424
0101000020E61000009B991E3C157F52C05A2C84BAE85B4440,61,1077,21.4,LM-147,Installed,Type B,Clinton Street,Delancey Street,Rivington Street,W,46,345,250.47572871
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,62,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,47,518,771.43352913
0101000020E6100000EE904458047D52C01C4BDDC434574440,63,10,351.35,B44-006,Installed,Type D,Bedford Avenue,Fulton Street,Halsey Street,E,48,9,223.81924488
0101000020E6100000B2C0E49EA67E52C080156E785B5E4440,64,1828,299,M23-004,Installed,Type D,E 23 Street,1 Avenue,2 Avenue,N,49,589,57.83724198
0101000020E61000002B9C529B5A8252C099A27E96CC514440,65,2947,112.34,BR-074,Installed,Custom,Bay Ridge Avenue,Shore Road,Ferry Terminal,E,50,730,824.82807874
0101000020E61000000F900BF6877F52C09B0A6F524D584440,66,3257,110,DB-078,Pending Sign,Type B,Atlantic Avenue,Court Street,Clinton Street,N,51,832,269.50893598
0101000020E61000008617D12C9E7252C0AF8B55F9755A4440,67,1470,68.8,JM-026,Installed,Type B,Jamaica Avenue,169 Street,168 Place,S,52,517,1241.24613778
0101000020E6100000AF323421877852C0BF16291E066F4440,68,793,51,X41-009,Sign Held,Type D,Webster Avenue,Bedford Park Boulevard,Botanical Square South,E,53,248,745.13508942
0101000020E6100000033CD31AF07E52C0FD5891BFB7624440,69,2708,29,UW-044,Installed,Type B,Columbus Avenue,W 62 Street,W 63 Street,W,54,680,497.79283964
0101000020E610000016503F73C57A52C0F8F069C195554440,70,1301,78.08,BV-001,Pending Sign,Type B,Pitkin Avenue,Grafton Street,Legion Street,N,55,449,777.70156429
0101000020E61000008535CF27737752C01B477AB851704440,71,1261,111.17,NX-005,Installed,Type B,E Gun Hill Road,Duncomb Avenue,White Plains Road,N,56,442,447.6749174
0101000020E6100000F7B23D39FA7B52C0CC2F055E5E5F4440,72,68,99,LI-016,Installed,Type B,Thomson Avenue,30 Street,30 Place,S,57,40,703.33185704
